rank,gid,role,priority_score,why,role_score,cluster_id,seeds_upstream,seeds_direct,in_degree,out_degree,in_sum_kzt,out_sum_kzt,retention,fast_out_share,depth,is_seed,censored
1,100000003115284100,consolidator,0.8853,Признаки консолидации: деньги от 9 seed (2 напрямую); получает от 8 плательщ. (2.2 млн ₸); платит 2 получат. (517 тыс ₸); отдаёт дальше 24% полученного; 99% уходит ≤2 дн. после поступления,0.8584,0,9,2,8,2,2160500.0,517000.0,0.7607,0.9865,1,False,False
2,100000006889963100,consolidator,0.8062,Признаки консолидации: деньги от 9 seed (2 напрямую); получает от 4 плательщ. (1.4 млн ₸); платит 1 получат. (443 тыс ₸); отдаёт дальше 31% полученного; по обороту выше 96% узлов 1-го колена,0.7465,1,9,2,4,1,1431000.0,443475.8,0.6901,1.0,1,False,False
3,100000007908818100,coordinator,0.7451,Связующий узел между хабами: связан с 4+1 хабами (вход+выход); деньги от 8 seed (2 напрямую); получает от 4 плательщ. (727 тыс ₸); платит 6 получат. (302 тыс ₸); отдаёт дальше 42% полученного,0.9474,27,8,2,4,6,727475.0,302000.0,0.5849,0.0497,1,False,False
4,100000004156082100,distributor,0.7299,Признаки веерной раздачи: деньги от 3 seed (1 напрямую); получает от 5 плательщ. (377 тыс ₸); платит 26 получат. (2.3 млн ₸); отдаёт в 6.1 раза больше видимого входа; повтор. маршрутов: 10,0.9101,4,3,1,5,26,377366.11,2319556.0,0.0,0.959,1,False,False
5,100000008603629100,distributor,0.7195,Признаки веерной раздачи: получает от 19 плательщ. (1.8 млн ₸); платит 61 получат. (5.0 млн ₸); отдаёт в 2.7 раза больше видимого входа; по числу плательщиков больше всех узлов 2-го колена,0.9936,2,1,0,19,61,1817300.0,4986156.0,0.0,0.9888,2,False,False
6,100000008686313100,transit,0.7173,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (1.9 млн ₸); платит 7 получат. (334 тыс ₸); отдаёт дальше 17% полученного; по числу плательщиков выше 98% узлов 1-го колена,0.8272,2,3,1,6,7,1912716.0,333800.0,0.8255,1.0,1,False,False
7,100000008165763100,transit,0.7171,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 15 плательщ. (1.2 млн ₸); платит 17 получат. (1.3 млн ₸); отдаёт в 1.1 раза больше видимого входа; 68% уходит ≤2 дн. после поступления,0.8339,3,3,1,15,17,1165815.0,1267858.0,0.0,0.6806,1,False,False
8,100000004015047100,consolidator,0.691,Признаки консолидации: деньги от 6 seed (3 напрямую); получает от 9 плательщ. (919 тыс ₸); платит 1 получат. (69 тыс ₸); отдаёт дальше 8% полученного; 64% уходит ≤2 дн. после поступления,0.7079,13,6,3,9,1,919104.0,69195.0,0.9247,0.6363,1,False,False
9,100000000437046100,distributor,0.6909,Признаки веерной раздачи: получает от 9 плательщ. (1.1 млн ₸); платит 42 получат. (7.6 млн ₸); отдаёт в 6.9 раза больше видимого входа; по числу плательщиков выше 98% узлов 2-го колена,0.9651,2,1,0,9,42,1107200.0,7606224.0,0.0,0.8675,2,False,False
10,100000003635170100,transit,0.6837,Признаки транзита: деньги от 4 seed (1 напрямую); получает от 3 плательщ. (268 тыс ₸); платит 4 получат. (254 тыс ₸); отдаёт дальше 94% полученного; 100% уходит ≤2 дн. после поступления,0.8551,1,4,1,3,4,268500.0,253500.0,0.0559,1.0,1,False,False
11,100000008477350100,distributor,0.6614,Признаки веерной раздачи: деньги от 2 seed; получает от 11 плательщ. (610 тыс ₸); платит 39 получат. (3.4 млн ₸); отдаёт в 5.5 раза больше видимого входа; 57% уходит ≤2 дн. после поступления,0.8849,2,2,0,11,39,610100.0,3374866.0,0.0,0.5699,2,False,False
12,100000008512552100,transit,0.6536,Признаки транзита: получает от 4 плательщ. (394 тыс ₸); платит 6 получат. (1.3 млн ₸); отдаёт в 3.3 раза больше видимого входа; 100% уходит ≤2 дн. после поступления; повтор. маршрутов: 7,0.979,10,1,0,4,6,394360.0,1302275.0,0.0,1.0,2,False,False
13,100000002957787100,distributor,0.6536,Признаки веерной раздачи: получает от 4 плательщ. (85 тыс ₸); платит 34 получат. (1.3 млн ₸); отдаёт в 15.0 раза больше видимого входа; по числу получателей выше 98% узлов 2-го колена,0.9107,3,1,0,4,34,84956.0,1276153.96,0.0,0.7551,2,False,False
14,100000004400305100,distributor,0.6515,Признаки веерной раздачи: деньги от 2 seed; получает от 7 плательщ. (223 тыс ₸); платит 82 получат. (5.8 млн ₸); отдаёт в 26.2 раза больше видимого входа; 79% уходит ≤2 дн. после поступления,0.9443,30,2,0,7,82,222800.0,5830181.0,0.0,0.7857,2,False,False
15,100000007055802100,consolidator,0.6512,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (2.0 млн ₸); платит 1 получат. (605 тыс ₸); отдаёт дальше 30% полученного; 100% уходит ≤2 дн. после поступления,0.6007,2,3,1,6,1,2024999.0,605000.0,0.7012,1.0,1,False,False
16,100000004299488100,consolidator,0.6503,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (1.7 млн ₸); платит 2 получат. (345 тыс ₸); отдаёт дальше 20% полученного; 94% уходит ≤2 дн. после поступления,0.5698,2,3,1,6,2,1749000.0,344999.0,0.8027,0.942,1,False,False
17,100000000331309100,distributor,0.648,Признаки веерной раздачи: деньги от 3 seed; получает от 5 плательщ. (985 тыс ₸); платит 99 получат. (23.0 млн ₸); отдаёт в 23.4 раза больше видимого входа; 36% уходит ≤2 дн. после поступления,0.8396,23,3,0,5,99,984635.0,23001375.0,0.0,0.3584,2,False,False
18,100000007442518100,transit,0.6438,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 5 плательщ. (510 тыс ₸); платит 9 получат. (4.4 млн ₸); отдаёт в 8.7 раза больше видимого входа; 90% уходит ≤2 дн. после поступления,0.7753,16,3,1,5,9,510000.0,4419999.0,0.0,0.8993,1,False,False
19,100000003701161100,transit,0.6426,Признаки транзита: деньги от 2 seed (1 напрямую); получает от 4 плательщ. (1.5 млн ₸); платит 3 получат. (349 тыс ₸); отдаёт дальше 23% полученного; по обороту выше 96% узлов 1-го колена,0.764,14,2,1,4,3,1527103.0,349000.0,0.7715,1.0,1,False,False
20,100000004403675100,transit,0.637,Признаки транзита: деньги от 3 seed (2 напрямую); получает от 4 плательщ. (183 тыс ₸); платит 5 получат. (265 тыс ₸); отдаёт в 1.4 раза больше видимого входа; 54% уходит ≤2 дн. после поступления,0.7398,15,3,2,4,5,182980.0,264699.0,0.0,0.5402,1,False,False
21,100000008346837100,distributor,0.6273,Признаки веерной раздачи: деньги от 3 seed; получает от 9 плательщ. (254 тыс ₸); платит 25 получат. (1.3 млн ₸); отдаёт в 4.9 раза больше видимого входа; 85% уходит ≤2 дн. после поступления,0.85,3,3,0,9,25,254359.0,1258643.0,0.0,0.8516,2,False,False
22,100000007129492100,consolidator,0.6247,Признаки консолидации: деньги от 8 seed (2 напрямую); получает от 2 плательщ. (51 тыс ₸); платит 1 получат. (37 тыс ₸); отдаёт дальше 73% полученного; 100% уходит ≤2 дн. после поступления,0.4968,1,8,2,2,1,50990.0,37000.0,0.2744,1.0,1,False,False
23,100000002398779100,consolidator,0.6245,Признаки консолидации: деньги от 2 seed; получает от 13 плательщ. (1.1 млн ₸); платит 1 получат. (66 тыс ₸); отдаёт дальше 6% полученного; по числу плательщиков больше всех узлов 2-го колена,0.7292,3,2,0,13,1,1095690.0,66000.0,0.9398,1.0,2,False,False
